text,source,region,label_source,confidence,match_score
"Chị ở mô Nghệ An rứa ạ. Em sv năm 2 rồi nhưng vẫn chưa đổi đc giọng 😢, nghe giọng em nó cứ bị hụt ơi ấy ạ. Còn dấu thì hầu như ngọng hết 😭",youtube:hVHRJ2cbd2w,central,lexicon,medium,2
hữu ích quá đi tui cũg thích nói giọng bắc nữa :) mà tui ở miền nam :),youtube:r9CijEqb5NQ,southern,lexicon,medium,2
Giọng ae đắc lắc ms khó nè mày... mày ns đk k mày..ồ...giọng ae đắc lắc tau ms khó nè...giọng này liện mày luôn...mà khó nè... Ai bảo khó hộ tui...tui dân 37 nhé😂 Đăk lăk àh...tuổi😊,youtube:jxaVRmwLjPI,southern,lexicon,medium,5
"Bài viết hay! Anh khánh có thể dành ít time đọc xem! --- Tản mạn câu chuyện muôn thởu! ""GỐC"" Hà Nội! ----- Bọn cháu sinh ra ở thế hệ trẻ 8x,9x nên cũng k dám bàn, hay bình luận gì về những thứ mà các cô, các bác ở thế hệ trước đã đưa ra ở các bài viết trước, cộng lý luận như nào là ""Người Hà Nội"" ạ. Cháu chỉ muốn liệt kê lại các nguồn tài liệu chút thôi ạ! Theo như cháu biết thì theo như sách vở quy ước lại thì ở miền Bắc khi xưa các làng, xã quy định ""Cứ gia đình nào sinh sống 3 thế hệ ở đâu thì là người Gốc ở làng đó"" Suy lại cho cùng câu này cũng có cái đúng, mình có thể tạm coi đây là ""điều kiện tối thiểu là 3 đời đi ạ"". Quay lại thời gian một chút, trước khi TD Pháp xâm chiếm nước ta thì Hà Nội lúc này cũng chỉ là một tỉnh miền bắc trải dài từ ""Hà Nội đến tận Hà Nam"" như bao như tỉnh thành khác. Vì lúc này ""Thủ Đô"" nằm tại Huế!?? Cái ""Tinh hoa, Thanh Lịch"" của Người Hà Nội mà chúng ta thấy, mà tôn thờ nó đến tận ngày nay đa phần được sinh ra bởi các thế hệ quan chức, tư sản, công chức, quan tây,... trong thời kỳ Pháp chiếm đóng! (Tạm coi là Đông Tây kết hợp) thực ra đó cũng là điều hiển nhiên thôi, làm việc, giao tiếp với Tây mà, có ăn có học nên phải giữ ý giữ tứ, đài các, kiểu cách thì cũng là điều đương nhiên! Cháu cũng hưởng ứng với việc này, để những ai cảm thấy tự hào và mừng vui khi được “thơm lây” vì cái chữ “hà nội thanh lịch” vì gia đình cháu đã ở đây ""Lâu đời"" dù bản thân chủ thể chưa chắc đã “thanh lịch”. Vì vẫn ăn nói bô bô, thi thoảng vẫn vượt đèn đỏ, gặp thằng nào đi đường ngông nghênh là lại ""Tổ sư bố thằng Nhà Quê đi thế à""!??? 😅 Tuy nhiên: đã ai đặt thêm câu hỏi xa hơn, Liệu cái Hà Nội Gốc này, nếu tính từ trước thế kỷ 20 (1900), thì liệu có thanh lịch văn minh không nhỉ?? 🤔 Theo sử sách Pháp ghi lại, từ Tk18 trở về trước, ngay cả người Hanoi còn chưa biết dùng “toilet”, đều là “thanh niên cầu tõm”. Ăn thịt bốc tay, bôi rất bẩn theo văn hoá của tôi. Theo nhiều tài liệu đúc kết nghiên cứu, cái gọi là Hanoi thanh lịch, chẳng qua do có 1 thời kỳ từ đầu Tk20 đến trước 1954 — do ảnh huởng văn minh của thực dân Pháp mà thôi. Còn bản chất, người dân Annamese mà ít học thì vẫn rất thô thiển. Người Kinh Kỳ, Tràng An thanh lịch xưa kia (trước thời Pháp) vốn là các anh nho anh đồ ở “Nhà Quê” lên kinh thi đỗ đạt, ở lại, và định hình văn hoá, kiểu cách thôi. Còn ""Gốc"" thời đó, lại chính là các anh trai làng ở các làng chài đánh cá ven sông tô lịch 😂 (Cái này nhà văn Tô Hoài đã nhắc đến) Còn nếu tính dân 36 phố phường, 1 phần lớn, là dân Kẻ Chợ “buôn thúng bán bưng”, “chặt thịt gà múc nước phở”, ""bán rong"" hàng quán quanh phố phường....nhập cư từ các tỉnh lên làm làng nghề (ngay cả thời pháp thuộc). Suy cho cùng, ấy là cái văn hoá và giáo dục. Thời nào, người nào, mà được tiếp cận văn hoá giáo dục cao, thì hành xử nó văn minh. Mà Hanoi 1900-1954, từng được may mắn có nhiều người được như vậy, học của Pháp. Con nhà giầu, bố mẹ (cậu mợ) khắt khe, lại học Thầy Tây, nhà nào giầu có còn được du học bên nước ngoài, nên bắt buộc phải kiểu cách thanh lịch. Thời nay thì giáo dục nó là phổ cập toàn dân thì nó mới như thế?? Có câu chuyện như này, Cháu có một người Thầy dậy vẽ trước kia học Mỹ Thuật Đông Dương, thầy kể trưa thì nóng lắm, trong phòng vẽ mà, mầu mè thì vấy bẩn tay, mồ hôi mướt sũng người, nhưng đi học trường Tây mà nên vẫn bắt buộc vẫn phải sơ mi, cắm thùng quần tây!!!??? Họa sỹ thời nay thì khác, còn có cả ""Mốt"" vẽ kiểu ""Không mặc gì"" mới vẽ được??? 😅 Ngày nay, sinh viên đi học mặc Quần Đùi, Váy ngắn??? Lạ Đời!!! Quay trở lại câu chuyện ""Gốc"": Theo cháu nhận thấy cái này còn tùy thuộc theo từng khu vực nữa, nếu các bạn sinh ra và lớn ở trên ""Phố Cổ"" hay ""Phố Tây""; ""Phố Cũ"" gọi nôm na là nằm trong 5 cửa ô hắt vào thì công nhận những gia đình sinh sống ờ đó từ 3-5 đời (70-100 năm) thì cũng là bình thường chả gốc lắm. Vì là phố cũ mà, đấy là điều hiển nhiên, nhiều nhà ở đây họ sinh sống từ thời pháp, có thể họ còn lên kinh thành Thăng Long từ vua chúa!!! Nhưng chính ra thì ""đại ca phố cổ"" cũng chả ăn thua lắm nếu đòi so sánh ""tuổi đời"" với những làng cổ ven đô khi xưa, ví dụ như mạn Bưởi, Đông Ngạc, Thanh Trì, Gia lâm,... ui giời ở đó có những dòng tộc gia phả đến tận 20-30 đời chứ lị 😅 5-6 đời ăn thua gì? Có khi quay lại thời gian trước nữa thì có khi ""Nguyên Quán"" lại là ở một tỉnh miền nào đó cách Hà nội thân yêu đến 200-300km thì sao ạ!!! Ngày xưa thời kỳ sau 54, sinh ra cái hộ tịch, cán bộ bảo kê khai nguyên quán, dân mình hiểu nôm na theo như các cụ mình thời đấy thì cứ kê khai theo kiểu ""cha sinh ra ở đâu thì quê con"" ở đó! Nên quê ""Hà nội"" thời đó cũng nhiều. Cộng thêm cái khoản sau năm 2008 3-4 triệu người Hà Nội gốc được thêm vào! Trước đây cháu có ngồi trà đá chém gió, có một bác trung niên trông ""Quân khu"" lắm ngồi chém ""tao là Gốc Hà Nội"" rồi lúc lôi CMT ra thì đúng là Gốc thật. Thường Trú: Phố Cổ, Gốc nguyên quán ""Từ Liêm""!!??? 😅 Nói vui vậy thôi, chứ chắc là nhà bác ý cũng ở phố được nhiều thế hệ r nên ng dân xung quanh đây biết đến bác ý khá nhiều. Phố mình hay gọi trêu nhau những gia đình nào ở phố lâu đời gọi là ""Thổ dân"" ở khu phố đó, nôm na là cái gì cũng biết! Lại nhắc tới từ ""Thổ Dân"" đồng thời quay lại câu chuyện ban đầu cháu nói đến là ""Gốc"" theo từng khu vực! Cháu có thằng bạn đại học nhà ở mạn Thanh Xuân, giáp sông Tô Lịch. Nó nhận nó là ""Gốc"" ""Thổ Dân"" ở đây, do bố mẹ nó nhà nó từ quê lên làm và được phân nhà ở mạn Cao Xà Lá, và ở đây từ những năm 1975, mà hồi đó ở đây chả có dân cư mấy, toàn ao chum, chão chuộc kêu ọp ọp cả ngày... Nhà nó gần như về đây đầu tiên, nó nhận nó là ""Gốc"" là ""Thổ Dân"" ở phố đó cũng đúng!??? 😀 Suy lại cho cùng ""Gốc"" nó không quan trọng! ""Gốc"" của người này, chưa chắc đã cùng quan điểm được coi là ""Gốc"" của người khác. Quan trọng là lối sống, văn hóa của mỗi con người. Bây giờ Hà Nội rộng lắm rồi ạ! Chúng ta nên tự hào về nơi sinh ra và lớn lên của mỗi người là được rồi ạ! 😍😍😍 Nguồn và bài viết st, biên soạn lại!",youtube:Z5xEhhwsTo0,northern,lexicon,medium,2
"Ở Thanh Hoá em cũng hay gọi bát to là bát ô tô, nhất là chỗ em. Cái gì gọi là cái chi, sao lại thế thì nói là răng lại dứa hoặc răng lại rứa, nem rán thì kêu là chả, chả là giò,... . Mỗi khác người Thanh Hoá bth là tụi mình nói giọng rất miền bắc nên khi lên Hà Nội học ĐH thì em cũng không hay bị trêu nói giọng địa phương, nhưng mấy anh chị khác thì hay bị.",youtube:LAXAIvkPRAw,central,lexicon,medium,3
tui nè,youtube:4hm1Gqk4Qpw,southern,lexicon,medium,2
Bây biết quãng ngãi tiếng khó nghe lắm Chào ❌️ trình Trình ông trình bà đi con rồi còn nữa nè @#%@!^#&@&@*#^!÷&##^^₫& cái gì tao nghe hổng hiểu 😅😅,youtube:cYGqQGqQFVc,southern,lexicon,medium,2
Tui trai miền tây mà tui mê gái giọng phú yên vãi 😗,youtube:cYGqQGqQFVc,southern,lexicon,medium,2
Phú yên nói chi rứa hè,youtube:cYGqQGqQFVc,central,lexicon,medium,2
"Phú Yên quê tui , tui hiểu được giọng bình định nha 😂",youtube:cYGqQGqQFVc,southern,lexicon,medium,2
