dialect,standard,region,sentiment,source,source_split,dialect_features
"Miên Trung thì giọng nói đa dạng như giọng Huế, giọng Quảng, giọng Nẫu ( Bình Định Phú Yên)...",,central,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 1, ""southern"": 0}"
"nhà mình ng nam , có mẹ ng vùng bắc trung bộ, hàng xóm ng Quảng Nam,ng Huế, ng Nghệ An, ng Hà Nội, sống đủ lâu nên mấy cái này tui nghe đc, trừ khi ng già nói nhe",,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
tui ở Nghệ An mà mỗi xã mỗi giọng khác nhau,,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Ga ni ga mô ri o ? Ga ni ga Lăng cô.,,central,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 2, ""southern"": 0}"
"Nhiều lúc thấy từ ngữ địa phương cũng thú vị :> tui miền bắc có bạn ở miền trung, miền nam và miền tây. Đặc biệt là miền trung nói thật tui nghe mãi mới ra được từ, nhưng may mà vẫn nghe hiểu được :))",,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 2}"
"video hay phết, cx chất lượng, vừa xem vừa hài vừa vừa có kiến thức, xem bị cuốn và khúc 4:15 là tôi confirm thông tin nha:)",,northern,,youtube:IkdZx9eUo7Q,,"{""northern"": 1, ""central"": 0, ""southern"": 0}"
tao ng Bình Định nè=),,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
"""mi đi ga mô tau đi ga ni, tau đi ga ni tau đi ga ni, tau đi ga ni mi đi ga mô, tau đi ga ni mi đi ga tê."" (dịch tiếng phổ thông: mày đi ga nào tao đi ga này tao đi ga này tao đi ga này tao đi ga này mày đi ga nào tao đi ga này mày đi ga kia) ng Huế nha:)))",,central,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 5, ""southern"": 0}"
"Kinh nhất là màn thành mùng, rẽ trái là quẹo trái chăn thành mèn tôi từng hỏi màn trời chiếu đất nghĩa gì, có lúc mấy anh người Nam tịt ngòi.",,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Tui ngừi Thanh Hóa mà coá bít ngừi khác nói cấy chỉ mô :)),,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
Em ở Đà Nẵng (Miền Trung)nè,,southern,,youtube:IkdZx9eUo7Q,,"{""northern"": 0, ""central"": 0, ""southern"": 1}"
