dialect,standard,region,sentiment,source,source_split
Nãy biết ở lại bà tám rồi.,Nãy mà biết thế là ở lại nhiều chuyện rồi.,southern,,vidia2std,train
Răng về quê mãi mà không chộ hè?,Sao về quê mãi mà không thấy nhỉ.,central,,vidia2std,train
"""Sao mà ác rứa hè?""",Sao mà ác vậy nhỉ?,central,,vidia2std,train
"Giầu nghèo không quan trọng, ai cũng có bữa cơm thôi.","Giàu nghèo không quan trọng, ai cũng có bữa cơm thôi.",northern,,vidia2std,train
"có khe là được, nói chi rứa hè?","có khe là được, nói chi vậy nhỉ",central,,vidia2std,train
Làm chén muối tiêu chanh.,Làm một chén muối tiêu chanh.,southern,,vidia2std,train
lúc ngoài sau nhà mình nhóc luôn!,ngoài sau nhà mình có rất nhiều luôn!,southern,,vidia2std,train
Ở lộ mô mà lạnh nhất lúc ni rứa?,Ở chỗ nào mà lạnh nhất lúc này vậy?,central,,vidia2std,train
"Mưa nhỏ hơn khi sáng, ri chiều hai giờ có rút không hầy?","Mưa nhỏ hơn khi sáng, thế này chiều hai giờ nước có rút không nhỉ?",central,,vidia2std,train
Không những có bót đánh răng mà còn bót giặt đồ nữa,Không những có bàn chải đánh răng mà còn bàn chải giặt đồ nữa,southern,,vidia2std,train
Sáng nào cũng làm tô.,Sáng nào cũng ăn một bát.,southern,,vidia2std,train
học hỏi nghe chị xem hốt sớm đi.,"học hỏi nhé chị, xem hốt sớm đi.",southern,,vidia2std,train
"Thâu nẫu ăn đi, mình bận việc quá chưa dìa được.","Thôi bạn ăn đi, mình bận việc quá chưa về được.",southern,,vidia2std,train
Diện tích Tuy Hòa có chút ét à.,Diện tích Tuy Hòa bé tí thôi.,southern,,vidia2std,train
Dệ ăn của mệ à con.,Dễ ăn của bà à con,central,,vidia2std,train
"Thiệt hại một khu còn chưa đủ à, không biết có thông báo gì không.","Thiệt hại một khu còn chưa đủ à, không biết có thông báo gì không",central,,vidia2std,train
"""Thì đàng mô cũng nhập rồi, nhập thì nhập thôi bạn, còn dân mình thích gọi chi thì gọi.""","Thì đường nào cũng nhập rồi, nhập thì nhập thôi bạn, còn dân mình thích gọi gì thì gọi.",central,,vidia2std,train
