dialect,standard,region
Nãy biết ở lại bà tám rồi.,Nãy mà biết thế là ở lại nhiều chuyện rồi.,southern
Nói chi rờ rờ rứa bé.,Nói gì vớ vẩn vậy bé.,central
mai mốt nhậu mà ngủ thì cho ăn biên bản.,sau này nhậu mà ngủ thì cho ăn biên bản.,southern
sân bay quảng trị nằm ở xã mô rứa hè?,Sân bay Quảng Trị nằm ở xã nào vậy nhỉ?,central
"tui hổng giận đâu, chỉ hiểu lầm thôi mà","tôi không giận đâu, chỉ hiểu lầm thôi mà",southern
ri cuối tuần mần răng mà về.,Vậy cuối tuần làm sao mà về.,central
Dừ mới biết thần tượng ni ở nghệ an.,Giờ mới biết thần tượng này ở nghệ an,central
"mai đi Vy Vy, Lan Chi hè, kiếm 2 triệu.","mai đi Vy Vy , Lan Chi nhỉ, kiếm 2 triệu",central
"trời ơi đúng quá nè, nó ngon nhức cái nách","trời ơi đúng quá này, nó ngon tuyệt vời",southern
chả hiểu chỗ nớ mần làm chi eng hè?,chẳng hiểu chỗ đó làm gì anh nhỉ?,central
Mạ lạy con rồi Nhị ơi.,Mẹ lạy con rồi Nhị ơi.,central
"nói có khi bị chửi, bẩu có cho được đồng nào mà cấm.","nói có khi bị chửi, bảo có cho được đồng nào mà cấm.",northern
Chúc mừng bà con quê ta. Năm nay đón một cái Tết bánh chưng nhân dầy cộp rồi.,Chúc mừng bà con quê ta. Năm nay đón một cái Tết bánh chưng nhân dày cộp rồi.,northern
Ở đó Kỳ Anh mần gin.,Ở đấy Kỳ Anh làm gần.,central
"Nhà choa 7 đứa cùn gáy, một đứa cùn trai.","Nhà tôi 7 đứa con gái, một đứa con trai",central
mai mốt có thêm mày bây giờ,hôm nào có thêm mày bây giờ,southern
coi có ông nào quen không mai mốt dìa khịa,xem có ông nào quen không hôm nào về chọc,southern
"nhìn tui nè, nhìn chi lên trời dậy?","nhìn tôi đây này, nhìn lên trời làm gì vậy?",southern
Choa chưa chộ mưa.,Tôi chưa thấy mưa.,central
sợ quá hông dìa đâu má ơi.,sợ quá không về đâu mẹ ơi.,southern
Nhìn chi khổ rứa bây!,Nhìn chi khổ rứa chúng mày!,central
"""Khiếp, còn sống không chứ có người a ri thì sao sống nổi. Thương quá, mong mọi người an toàn.""","Khiếp, còn sống không chứ có người như thế này thì sao sống nổi. Thương quá, mong mọi người an toàn.",central
Gưn nửa đời người rồi đọ?,Gần nửa đời người rồi đó?,central
"""Túi ni ăn cơm chi chưa biết hầy?""",Tối nay ăn cơm gì chưa biết nhỉ?,central
Ai tê mà xinh giống vợ choa rứa hi?,Ai kia mà xinh giống vợ tôi vậy nhỉ?,central
"Đang ở Trà Ôn nè, mà có trồng đâu mà ăn chớ","Đang ở Trà Ôn đây này, mà có trồng đâu mà ăn chứ",southern
Khu vực Cửa Đông có thấy lụt mô.,Khu vực Cửa Đông có thấy lụt đâu.,central
"Nghiêm cấm bạn đăng mấy ảnh ""bứt rứt"" ni nha.","Nghiêm cấm bạn đăng mấy ảnh ""bứt rứt"" này nha.",central
"""Sợ chi cùng lắm thì tháng về 2 ngày lo chi?""",Sợ gì cùng lắm thì tháng về 2 ngày lo gì?,central
App chi mà ra màu xanh ri hè?,App gì mà ra màu xanh thế nhỉ?,central
ăn hông dìa đây chứ ở trỏng nói gì cha ư cha,ăn không về đây chứ ở trong đấy nói gì mày ơi mày,southern
Quảng Trị chỗ mô tội ri bà con.,Quảng Trị chỗ nào tội thế bà con.,central
Đừng có cái chi cũng nói rứa hi,Đừng có cái gì cũng nói vậy nhé,central
"bữa ni ngó hiếm cụ hè , hồi tê toàn vô cầu trỗi hái.","hôm nay thấy hiếm cụ nhỉ , hồi đấy toàn vô cầu trỗi hái.",central
"Con cái nhà ai mà liều ri hầy, trời còn mưa nựa","Con cái nhà ai mà liều thế nhỉ, trời còn mưa nữa",central
"Ở cầu vượt Cửa Nam trưa ni, may mà người nỏ can chi.","Ở cầu vượt Cửa Nam trưa nay, may mà người không bị gì.",central
Nếu ai cũng giặt được thì tiệm họ mở ra mần chi rứa anh? Anh nói như răng cho hấn dệ nghe tí,Nếu ai cũng giặt được thì tiệm họ mở ra làm gì vậy anh? Anh nói như thế nào cho nó dễ nghe tí,central
Tui biết chi mô!,Tôi biết gì đâu!,central
Bưa khớp các chị nhà mình thi lái xong.,Vừa khớp các chị nhà mình thi lái xong.,central
Ra ngoài nớ nhậu với bạn được chơ.,Ra ngoài đó nhậu với bạn được chứ.,central
Mần tôi bựa qua dừ chia buồn cho liệt đi.,Làm tôi bữa qua giờ chia buồn cho ngất đi.,central
Rầu khi nào mày dìa quơ dẫy,Rồi khi nào mày về quê vậy,southern
Cái ni mà bạn trả lời chi có 10 điểm!,Cái này mà bạn trả lời gì có 10 điểm!,central
không bằng mấy con ni hè?,không bằng mấy con này nhỉ,central
Chê nha. không ngon mà còn mắc hơn trên Sài Gòn nữa,Chê nhé. Không ngon mà còn đắt hơn trên Sài Gòn nữa,southern
"Không có mưa mà vẫn có bão à cậu, đoạn ni nhìn gớm cậu hầy?","Không có mưa mà vẫn có bão à cậu, đoạn này nhìn sợ cậu nhỉ.",central
rứa lấy được gấy Hà Tịnh rồi đô.,vậy lấy được con gái Hà Tĩnh rồi đó,central
thâu dìa kiếm bao gạo đem dô cũng được.,thôi về kiếm một bao gạo mang vào cũng được.,southern
khi mô ghé ăn em hè?,khi nào ghé ăn em nhé?,central
"do xe ngon đó, chơ miềng đi wave cùi vít đoạ có lên mô.","do xe ngon đấy, chứ mình đi wave cùi vít hết ga nó có lên đâu.",central
yên thành mưa cả đêm sáng mai còn một trận. Mưa to nựa đi học ướt hết.,Yên thành mưa cả đêm sáng mai còn một trận. Mưa to nữa đi học ướt hết.,central
Nác méng chảy thành sông rồi.,Nước miếng chảy thành sông rồi.,central
"""Làm chi mà quảng cáo dữ rứa!""",làm gì mà quảng cáo dữ vậy,central
"thâu chịu rầu đó, nẫu nói chi chi rứa em","thôi chịu rồi đấy, người ta nói cái gì thế em",southern
không chộ mặt Quốc Khánh em dại mô hết hè Tuấn Kiệt?,không thấy mặt Quốc Khánh em đâu hết nhỉ Tuấn Kiệt?,central
"Hay ta lập hội đi dọn hầy, biết mô được giấy khen của thị xã Cửa Lò.","Hay chúng ta lập hội đi dọn nhỉ, biết đâu được giấy khen của thị xã Cửa Lò.",central
Chi tội kinh rứa trời!,Gì tội kinh vậy trời!,central
Trông ngứa mắt thật sự chứ lị!,Trông ngứa mắt thật sự chứ!,northern
"Em hại luôn, giá chung là cao hơn thành phố lớn rồi, bên ni cô chú ni lấy giá hơn gấp đôi giá chung em mới bức xúc","Em sợ luôn, giá chung là cao hơn thành phố lớn rồi, bên này cô chú này lấy giá hơn gấp đôi giá chung em mới bức xúc",central
"Chủ tịch tỉnh ngang Bộ trưởng, bựa ni làm thứ trưởng là lên hay xuống hè?","Chủ tịch tỉnh ngang Bộ trưởng, hôm nay làm thứ trưởng là lên hay xuống nhỉ?",central
lừa con mô trên đó rứa? Có bị lội xuống rọng hát quốc ca không.,Lừa con nào trên đó vậy? Có bị lội xuống ruộng hát quốc ca không.,central
Người ta đang chay mà xe tải nó muốn quẹo là quẹo.,Người ta đang lái mà xe tải nó muốn rẽ là rẽ.,southern
chốt kèo đi nhậu liền bây giờ nè.,chốt kế hoạch đi nhậu ngay bây giờ này.,southern
Răng mà món ni ngày càng bán chạy ri hè,Sao mà món này ngày càng bán chạy thế nhỉ,central
Chuột mô? Chuột mô? Đưa em đi bắt cho.,Chuột đâu? Chuột đâu? Để em đi bắt cho.,central
Ơ rứa muốn về mần du miền Trung lắm hay răng mà nói rứa?,Ơ vậy muốn về làm dâu miền Trung lắm hay sao mà nói vậy?,central
Ở mô đây hầy? Lên phường là run như cún cả dừ. Nghe giọng giống mi ri?,Ở đâu đây nhỉ? Lên phường là run như cún cả bây giờ. Nghe giọng giống mày thế?,central
"""Chi ri em hè?""",Gì thế em nhỉ?,central
Tập ri bơ ăn giải rồi,Tập thế này thì ăn giải rồi,central
Hẹn chắc một rưỡi đi mà do không biết đường bơ đến ba giờ mới thấu suối dưới Phú Lộc lận,Hẹn nhau một giờ rưỡi đi mà do không biết đường nên đến tận ba giờ mới đến suối dưới Phú Lộc cơ,southern
"""Trời ơi, không trách chi dạo ni không chộ. Ra đường ăn đêm nhìn cun ni mà nổi da gà.""","Trời ơi, bảo sao dạo này không thấy. Ra đường ăn đêm nhìn cái này mà nổi da gà.",central
em chưa đi lộ ni nơi tề.,em chưa đi đường này,central
Ri bơ thời gian mô mà yêu đương nữa hè?,Thế này thì thời gian đâu mà yêu đương nữa nhỉ?,central
