dialect,standard,region,sentiment,source,source_split,row_id
Nãy biết ở lại bà tám rồi.,Nãy mà biết thế là ở lại nhiều chuyện rồi.,southern,,vidia2std,train,0
Răng về quê mãi mà không chộ hè?,Sao về quê mãi mà không thấy nhỉ.,central,,vidia2std,train,1
"""Sao mà ác rứa hè?""",Sao mà ác vậy nhỉ?,central,,vidia2std,train,2
"Giầu nghèo không quan trọng, ai cũng có bữa cơm thôi.","Giàu nghèo không quan trọng, ai cũng có bữa cơm thôi.",northern,,vidia2std,train,3
"có khe là được, nói chi rứa hè?","có khe là được, nói chi vậy nhỉ",central,,vidia2std,train,4
Làm chén muối tiêu chanh.,Làm một chén muối tiêu chanh.,southern,,vidia2std,train,5
lúc ngoài sau nhà mình nhóc luôn!,ngoài sau nhà mình có rất nhiều luôn!,southern,,vidia2std,train,6
Ở lộ mô mà lạnh nhất lúc ni rứa?,Ở chỗ nào mà lạnh nhất lúc này vậy?,central,,vidia2std,train,7
"Mưa nhỏ hơn khi sáng, ri chiều hai giờ có rút không hầy?","Mưa nhỏ hơn khi sáng, thế này chiều hai giờ nước có rút không nhỉ?",central,,vidia2std,train,8
Không những có bót đánh răng mà còn bót giặt đồ nữa,Không những có bàn chải đánh răng mà còn bàn chải giặt đồ nữa,southern,,vidia2std,train,9
Sáng nào cũng làm tô.,Sáng nào cũng ăn một bát.,southern,,vidia2std,train,10
học hỏi nghe chị xem hốt sớm đi.,"học hỏi nhé chị, xem hốt sớm đi.",southern,,vidia2std,train,11
"Thâu nẫu ăn đi, mình bận việc quá chưa dìa được.","Thôi bạn ăn đi, mình bận việc quá chưa về được.",southern,,vidia2std,train,12
Diện tích Tuy Hòa có chút ét à.,Diện tích Tuy Hòa bé tí thôi.,southern,,vidia2std,train,13
Dệ ăn của mệ à con.,Dễ ăn của bà à con,central,,vidia2std,train,14
"Thiệt hại một khu còn chưa đủ à, không biết có thông báo gì không.","Thiệt hại một khu còn chưa đủ à, không biết có thông báo gì không",central,,vidia2std,train,15
"""Thì đàng mô cũng nhập rồi, nhập thì nhập thôi bạn, còn dân mình thích gọi chi thì gọi.""","Thì đường nào cũng nhập rồi, nhập thì nhập thôi bạn, còn dân mình thích gọi gì thì gọi.",central,,vidia2std,train,16
"đại gia tương lai đây, chơ mô nữa bạn hè?",đại gia tương lai đây chứ đâu nữa bạn nhỉ,central,,vidia2std,train,17
Nhà tôi có 7 chị em gấy.,Nhà tôi có 7 chị em gái.,central,,vidia2std,train,18
chi chơ 3 triệu nắm chắc trong tay luôn,gì chứ 3 triệu nắm chắc trong tay luôn,central,,vidia2std,train,19
Em cần tìm mặt bằng để bỏ kì lò với cùn ngài ni để bán béng pizza,Em cần tìm mặt bằng để bỏ cái lò với con người này để bán bánh pizza,central,,vidia2std,train,20
Răng mà rứa hề?,Sao mà như thế nhỉ?,central,,vidia2std,train,21
bùng binh này về hướng cầu Hàm Luông á.,vòng xoay này về hướng cầu Hàm Luông đấy.,southern,,vidia2std,train,22
Nhốt bả chừng mấy tháng cho bả tởn,Nhốt bà ấy chừng mấy tháng cho bà ấy sợ,southern,,vidia2std,train,23
Rốc rang muối.,Cua đồng rang muối.,northern,,vidia2std,train,24
Hông ấy khỏi Tết đi được hông ta,Không ấy khỏi Tết đi được không nhỉ,southern,,vidia2std,train,25
"Cụ chưa có duyên với đất Vinh, chơ đêm đi truy lùng rứa mà vẩn không được.","Mình chưa có duyên với đất Vinh, chứ đêm đi truy lùng như thế mà vẫn không được.",central,,vidia2std,train,26
bõ bèn gì anh nhờ?,bõ bèn gì anh nhỉ?,northern,,vidia2std,train,27
Mần lại y không hắn gãy.,Làm lại đi không nó gãy.,central,,vidia2std,train,28
Nay cỏ nhiều chứ thời tui đi bộ xa mới bứt được gánh cỏ.,Nay có nhiều chứ thời tôi đi bộ xa mới bứt được gánh cỏ.,central,,vidia2std,train,29
Mình đi khi mô dòm kị hai bên đường mà nỏ khi mô thấy.,Mình đi khi nào cũng nhìn kỹ hai bên đường mà không khi nào thấy.,central,,vidia2std,train,30
"Lạo mần lạo như thổ địa chân cầu Cửa Tùng chưa nả, vô mà bắt ốc đi mi.","Lão làm như lão là thổ địa chân cầu Cửa Tùng chưa, vào mà bắt ốc đi mày.",central,,vidia2std,train,31
"Đầu nguồn thì nước đỏ ngầu, Sông Hồng ứ lại đổi mầu xanh đen.","Đầu nguồn thì nước đỏ ngầu, Sông Hồng ứ lại đổi màu xanh đen.",northern,,vidia2std,train,32
Mi hiểu ý tau chi?,Mày hiểu ý tao đúng không?,central,,vidia2std,train,33
thử coi xe với cột đèn nào cứng hơn,thử xem xe với cột đèn cái nào cứng hơn,southern,,vidia2std,train,34
"giờ hông thấy luôn, mà ăn bột bột ngon hen.","giờ không thấy luôn, mà ăn bột bột ngon nhỉ.",southern,,vidia2std,train,35
hôm nay tiền mô ăn sang ri.,hôm nay tiền đâu ăn sang thế này,central,,vidia2std,train,36
"Chèn ơi thèm mà hông nhớ tên , chỉ nhớ là nó rất ngon.","Trời ơi thèm mà không nhớ tên , chỉ nhớ là nó rất ngon.",southern,,vidia2std,train,37
"Kẹt xe vậy mai lên sớm nha thầy, mốt kẹt xe nha thầy","Tắt đường vậy mai lên sớm nhé thầy, ngày mốt tắc đường nhé thầy",southern,,vidia2std,train,38
"huy chộ đoán mù mà, không khi mô được gọi tên hề?",Huy thấy đoán mù mà không khi nào được gọi tên nhỉ.,central,,vidia2std,train,39
Chửi nửa tiếng mệt thấy bà. Hơi đâu chửi cả tiếng nổi trời,Chửi nửa tiếng mệt khủng khiếp. Sức đâu chửi cả tiếng nổi trời,southern,,vidia2std,train,40
"Chát thấy bà, nhưng mà ăn xong nuốt nước miếng cũng thấy ngọt, không cần uống nước","Chát khủng khiếp, nhưng mà ăn xong nuốt nước bọt cũng thấy ngọt, không cần uống nước",southern,,vidia2std,train,41
mi hâm à đôi ta không thể đến được với nhau nựa hãy tìm đối tượng khác mà yêu đi.,"Mày khùng ấy, đôi ta không thể đến được với nhau nữa, hãy tìm đối tượng khác mà yêu đi.",central,,vidia2std,train,42
Ở Nghệ An cụng nghe cấy bốp.,Ở Nghệ An cụng nghe cái bốp,central,,vidia2std,train,43
"Để rứa mà đơm ăn thêm vài méng, chơ ngồi phòng điều hoà mần chi.","Để vậy mà lấy ăn thêm vài miếng, chứ ngồi phòng điều hòa làm gì",central,,vidia2std,train,44
