row_id,dialect,region,sentiment
0,Nãy biết ở lại bà tám rồi.,southern,
1,Răng về quê mãi mà không chộ hè?,central,
2,"""Sao mà ác rứa hè?""",central,
3,"Giầu nghèo không quan trọng, ai cũng có bữa cơm thôi.",northern,
4,"có khe là được, nói chi rứa hè?",central,
5,Làm chén muối tiêu chanh.,southern,
6,lúc ngoài sau nhà mình nhóc luôn!,southern,
7,Ở lộ mô mà lạnh nhất lúc ni rứa?,central,
8,"Mưa nhỏ hơn khi sáng, ri chiều hai giờ có rút không hầy?",central,
9,Không những có bót đánh răng mà còn bót giặt đồ nữa,southern,
10,Sáng nào cũng làm tô.,southern,
11,học hỏi nghe chị xem hốt sớm đi.,southern,
12,"Thâu nẫu ăn đi, mình bận việc quá chưa dìa được.",southern,
13,Diện tích Tuy Hòa có chút ét à.,southern,
14,Dệ ăn của mệ à con.,central,
15,"Thiệt hại một khu còn chưa đủ à, không biết có thông báo gì không.",central,
16,"""Thì đàng mô cũng nhập rồi, nhập thì nhập thôi bạn, còn dân mình thích gọi chi thì gọi.""",central,
17,"đại gia tương lai đây, chơ mô nữa bạn hè?",central,
18,Nhà tôi có 7 chị em gấy.,central,
19,chi chơ 3 triệu nắm chắc trong tay luôn,central,
20,Em cần tìm mặt bằng để bỏ kì lò với cùn ngài ni để bán béng pizza,central,
21,Răng mà rứa hề?,central,
22,bùng binh này về hướng cầu Hàm Luông á.,southern,
23,Nhốt bả chừng mấy tháng cho bả tởn,southern,
24,Rốc rang muối.,northern,
25,Hông ấy khỏi Tết đi được hông ta,southern,
26,"Cụ chưa có duyên với đất Vinh, chơ đêm đi truy lùng rứa mà vẩn không được.",central,
27,bõ bèn gì anh nhờ?,northern,
28,Mần lại y không hắn gãy.,central,
29,Nay cỏ nhiều chứ thời tui đi bộ xa mới bứt được gánh cỏ.,central,
30,Mình đi khi mô dòm kị hai bên đường mà nỏ khi mô thấy.,central,
31,"Lạo mần lạo như thổ địa chân cầu Cửa Tùng chưa nả, vô mà bắt ốc đi mi.",central,
32,"Đầu nguồn thì nước đỏ ngầu, Sông Hồng ứ lại đổi mầu xanh đen.",northern,
33,Mi hiểu ý tau chi?,central,
34,thử coi xe với cột đèn nào cứng hơn,southern,
35,"giờ hông thấy luôn, mà ăn bột bột ngon hen.",southern,
36,hôm nay tiền mô ăn sang ri.,central,
