dialect,standard,region,sentiment,source,source_split
"Bát phở này nhìn ngon mắt phết nhờ, mai phải ghé thẩm mới được.","Bát phở này nhìn ngon mắt phết nhỉ, mai phải ghé thử mới được.",northern,positive,synthetic,
"Tiết trời thu Hà Nội dạo này chill dã man, lượn hồ Tây là hết nấc.","Thời tiết mùa thu Hà Nội dạo này rất dễ chịu, đi quanh hồ Tây là tuyệt nhất.",northern,positive,synthetic,
Quả áo này mặc lên dáng ra phết đấy bu em ạ!,Chiếc áo này mặc lên dáng khá đẹp đấy vợ ạ!,northern,positive,synthetic,
Cuối tuần làm tí đồ nướng xong làm cốc trà đá là chuẩn bài nhể?,Cuối tuần ăn chút đồ nướng xong uống ly trà đá là hợp lý nhất nhỉ?,northern,positive,synthetic,
"Xinh xỉu luôn, ảnh này trông góc mặt ăn tiền cực kỳ!","Đẹp xuất sắc luôn, bức ảnh này trông góc mặt rất thu hút!",northern,positive,synthetic,
"Chúc mừng sếp nhé, dự án này thành công rực rỡ quá chừng!","Chúc mừng sếp nhé, dự án này thành công rực rỡ quá!",northern,positive,synthetic,
"Cu Tí dạo này nhớn nhanh như thổi, trông kháu khỉnh hết biết.","Bé Tí dạo này lớn nhanh như thổi, trông kháu khỉnh vô cùng.",northern,positive,synthetic,
"Món cá kho này mẹ nấu tốn cơm dã man, gắp tắp lự hết nửa mâm.","Món cá kho này mẹ nấu rất tốn cơm, gắp một chút là hết nửa mâm.",northern,positive,synthetic,
"Con miu này mập rạp, bế sướng tay phải biết luôn!","Con mèo này mập mạp, bế thích tay cực kỳ luôn!",northern,positive,synthetic,
"Quán cà phê này decor chim ưng phết, góc nào sống ảo cũng nét nẹt.","Quán cà phê này trang trí rất ưng ý, góc nào chụp ảnh cũng đẹp nét.",northern,positive,synthetic,
"Lâu lắm mới thấy cả hội tụ tập đông đủ thế này, vui vãi nhở!","Lâu lắm mới thấy cả nhóm tụ tập đông đủ thế này, vui quá nhỉ!",northern,positive,synthetic,
"Chiếc xe này lướt êm ru luôn, đi phượt mùa này thì đỉnh chóp.","Chiếc xe này chạy rất êm, đi du lịch trải nghiệm mùa này thì tuyệt vời nhất.",northern,positive,synthetic,
"Nhận được quà bất ngờ từ ông xã, ưng cái bụng thế không biết!","Nhận được quà bất ngờ từ chồng, rất vui lòng luôn!",northern,positive,synthetic,
"Nhìn lại mấy ảnh hồi bé buồn cười vãi, ngố rừng không chịu được!","Nhìn lại mấy bức ảnh hồi nhỏ buồn cười quá, ngô nghê không chịu được!",northern,positive,synthetic,
"Bài hát mới nghe cuốn phết, giai điệu nghe một lần nhớ luôn.","Bài hát mới nghe rất cuốn hút, giai điệu nghe một lần nhớ luôn.",northern,positive,synthetic,
Sáng ra làm cốc bạc xỉu nóng là tràn trề năng lượng luôn anh em ạ.,Buổi sáng uống một ly bạc xỉu nóng là tràn đầy năng lượng luôn mọi người ạ.,northern,positive,synthetic,
"Cậu em dạo này chăm tập tành ra phết, cơ bắp cuồn cuộn rồi đấy!","Em dạo này chăm tập luyện khá đấy, cơ bắp cuồn cuộn rồi đấy!",northern,positive,synthetic,
Tự tay làm được cái bánh kem này cũng ra gì và này nọ đấy chứ!,Tự tay làm được chiếc bánh kem này cũng rất ra dáng đấy chứ!,northern,positive,synthetic,
"Săn được quả deal xịn đét, tiết kiệm được cả khối tiền nhờ!","Mua được món hàng giảm giá rất ngon, tiết kiệm được rất nhiều tiền nhỉ!",northern,positive,synthetic,
"Xóm mình tối nay rôm rả phết, đúng không khí Tết đến đít rồi!","Xóm mình tối nay đông vui rộn ràng quá, đúng không khí Tết đến nơi rồi!",northern,positive,synthetic,
Món này làm dễ ợt mà ăn tốn cơm phết nhở!,Món này làm rất dễ mà ăn tốn cơm lắm nhỉ!,northern,positive,synthetic,
Nao rảnh làm chuyến Mộc Châu ngắm hoa cúc quỳ không anh em?,Hôm nào rảnh làm chuyến Mộc Châu ngắm hoa dã quỳ không anh em?,northern,positive,synthetic,
"Bộ này mặc lên nhìn tôn dáng dã man, chuẩn gu tớ luôn.","Bộ này mặc lên nhìn tôn dáng rất nhiều, đúng gu của tớ luôn.",northern,positive,synthetic,
"Quán decor xinh xỉu, tối nay ra làm tách cà phê chill chill nhể?","Quán trang trí rất đẹp, tối nay ra uống tách cà phê thư giãn nhé?",northern,positive,synthetic,
"Hàng về tay thơm phức, bọc gói cẩn thận vãi chưởng.","Hàng nhận được rất thơm, đóng gói cẩn thận cực kỳ.",northern,positive,synthetic,
Hai đứa dạo này trông có tướng phu thê phết đấy chứ!,Hai người dạo này nhìn có tướng phu thê lắm đấy nhé!,northern,positive,synthetic,
